WKT,LINK_ID,ST_NAME
"MULTILINESTRING ((34.85021 32.07011,34.85001 32.07014,34.84984 32.07016,34.84965 32.07019,34.84946 32.07023))",834522954,מקס ואנה ווב
"MULTILINESTRING ((34.84237 32.04398,34.84231 32.04403,34.8423 32.04408,34.84231 32.04412))",834523509,
"MULTILINESTRING ((34.83467 32.04358,34.83462 32.0436,34.8346 32.04363,34.8346 32.0437))",834523514,
"MULTILINESTRING ((34.8346 32.0437,34.83465 32.04374,34.83472 32.04375))",834523517,
"MULTILINESTRING ((34.83467 32.04358,34.83473 32.04359,34.83477 32.04362,34.83479 32.04365))",834523519,
"MULTILINESTRING ((34.83479 32.04365,34.83479 32.04369,34.83476 32.04373,34.83472 32.04375))",834523520,
"MULTILINESTRING ((34.82249 32.05561,34.82243 32.05561,34.82238 32.05562,34.82234 32.05564))",834523802,כיכר עוזי חיטמן
"MULTILINESTRING ((34.82234 32.05564,34.8223 32.05568,34.82226 32.05573,34.82223 32.05579,34.82221 32.05585,34.82219 32.05592,34.82219 32.05598,34.82221 32.05604))",834523809,כיכר עוזי חיטמן
"MULTILINESTRING ((34.84325 32.04777,34.84332 32.04777,34.84338 32.0478,34.84341 32.04785,34.84341 32.0479))",834523831,
"MULTILINESTRING ((34.84318 32.04792,34.84325 32.04797,34.84332 32.04797))",834523832,
"MULTILINESTRING ((34.8475 32.04622,34.84755 32.04625,34.84757 32.04627))",834523834,
"MULTILINESTRING ((34.84106 32.04524,34.84101 32.04527,34.84098 32.04532,34.841 32.0454,34.84106 32.04544,34.84111 32.04544))",834523840,
"MULTILINESTRING ((34.84341 32.0479,34.84337 32.04795,34.84332 32.04797))",834523842,
"MULTILINESTRING ((34.84325 32.04777,34.84318 32.04783,34.84317 32.04787,34.84318 32.04792))",834523844,
"MULTILINESTRING ((34.84079 32.04811,34.84076 32.04815,34.84075 32.04822,34.84076 32.04827,34.8408 32.04834,34.84086 32.04837,34.84093 32.04837))",834523849,
"MULTILINESTRING ((34.841 32.0482,34.84102 32.04825,34.841 32.04833,34.84093 32.04837))",834523850,
"MULTILINESTRING ((34.84083 32.04809,34.84091 32.0481,34.84097 32.04814,34.841 32.0482))",834523851,
"MULTILINESTRING ((34.84757 32.04627,34.84758 32.0463,34.84753 32.04637))",834523854,
"MULTILINESTRING ((34.8474 32.04631,34.84743 32.04637,34.8475 32.04639,34.84753 32.04637))",834523855,
"MULTILINESTRING ((34.83505 32.04473,34.83505 32.04478,34.83499 32.04483))",834523862,
"MULTILINESTRING ((34.83495 32.04468,34.83502 32.0447,34.83505 32.04473))",834523863,
